City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,asosa,ET,74.1,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
174,cabo san lucas,MX,73.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
178,linhares,BR,71.87,overcast clouds,-19.3911,-40.0722,Hotel Conceição
179,kotido,UG,72.18,clear sky,2.9806,34.1331,Loware Joseph Mukasa's Residence
180,durg,IN,69.93,clear sky,21.1833,81.2833,OYO 37028 Hotel Sheela
182,porbandar,IN,74.16,clear sky,21.6422,69.6093,Lords Inn Porbandar
184,rio grande,BR,68.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
185,atambua,ID,78.03,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
186,santa cruz cabralia,BR,78.8,clear sky,-16.2781,-39.0247,Portobali Hotel
187,sechura,PE,80.6,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
189,ahipara,NZ,71.31,few clouds,-35.1667,173.1667,Ahipara Holiday Park
191,maryborough,AU,84.0,broken clouds,-25.5333,152.7,Blue Shades Motel
193,praya,CV,69.8,clear sky,14.9215,-23.5087,LT Aparthotel
194,ambilobe,MG,73.09,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
195,harper,LR,78.82,broken clouds,4.375,-7.7169,Screensaver
198,cape town,ZA,66.2,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
199,kirakira,SB,84.97,few clouds,-10.4544,161.9205,SanBiz Lodge
204,necochea,AR,63.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
205,lagunas,PE,71.71,heavy intensity rain,-5.2269,-75.6753,Hospedaje Eco
207,koutiala,ML,78.58,clear sky,12.3917,-5.4642,Hotel Campement Poule Verte
211,biltine,TD,81.72,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
212,avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
216,wajir,KE,74.97,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
217,coxim,BR,76.73,overcast clouds,-18.5067,-54.76,Hotel Avenida
220,quatre cocos,MU,77.0,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
221,port hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
222,buchanan,LR,78.8,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
224,buraydah,SA,68.0,dust,26.326,43.975,فندق راحة السلام
226,mahibadhoo,MV,83.14,light rain,3.7833,72.9667,Omadhoo Inn
227,garissa,KE,75.31,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
228,geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
229,matara,LK,74.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
233,gizo,SB,84.15,light rain,-8.103,156.8419,Imagination Island
237,prieska,ZA,71.28,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
239,najran,SA,66.2,dust,17.4924,44.1277,محمد هادي ال فطيح
240,seddon,AU,64.99,broken clouds,-37.8068,144.8916,Footscray Motor Inn
243,dalbandin,PK,61.43,clear sky,28.8947,64.4101,Sanjrani House
244,labuhan,ID,78.04,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
246,codrington,AU,64.47,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
251,gladstone,AU,82.4,scattered clouds,-23.85,151.25,Highpoint International
252,tura,IN,67.95,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
254,dunedin,NZ,66.0,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
255,bani,DO,74.43,clear sky,18.2833,-70.3333,Hospedaje Henriquez
256,kaitangata,NZ,66.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
257,aloleng,PH,80.62,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
259,torit,SS,80.29,few clouds,4.4133,32.5678,Diplomat Guest House
262,kismayo,SO,77.47,scattered clouds,-0.3582,42.5454,Agan-Hotel
263,bentiu,SS,80.92,scattered clouds,9.2333,29.8333,Mandela hôtel
264,bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
266,sao filipe,CV,70.72,clear sky,14.8961,-24.4956,Tortuga B&B
267,alta floresta,BR,72.61,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
269,faya,SA,62.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
