City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,taoudenni,ML,22.6783,-3.9836,73.51,30,0,14.88,clear sky
289,wisconsin rapids,US,44.3836,-89.8174,41.0,38,1,13.8,clear sky
290,longyearbyen,SJ,78.2186,15.6401,-2.2,65,20,11.5,few clouds
291,kamenka,RU,51.3223,42.7678,27.0,86,83,12.66,broken clouds
292,manggar,ID,-2.8833,108.2667,79.81,83,100,5.19,overcast clouds
293,korla,CN,41.7597,86.1469,50.85,36,98,9.28,overcast clouds
294,tecoanapa,MX,16.5167,-98.75,82.06,66,0,8.57,clear sky
295,marica,BR,-22.9194,-42.8186,78.8,83,20,6.91,few clouds
296,khash,IR,28.2211,61.2158,47.25,49,0,0.4,clear sky
297,bandarbeyla,SO,9.4942,50.8122,76.64,78,91,11.25,overcast clouds
298,okhotsk,RU,59.3833,143.3,8.91,86,99,4.63,overcast clouds
299,sabang,ID,5.8933,95.3214,82.49,74,75,16.8,broken clouds
300,auki,SB,-8.7676,160.7034,86.85,62,98,2.08,overcast clouds
301,cabedelo,BR,-6.9811,-34.8339,78.8,83,20,6.91,few clouds
302,klaksvik,FO,62.2266,-6.589,39.2,87,75,9.22,broken clouds
303,kamiiso,JP,41.8167,140.65,42.8,70,40,1.14,scattered clouds
304,hvolsvollur,IS,63.7533,-20.2243,33.01,91,95,5.99,overcast clouds
305,ternate,ID,0.8,127.4,82.27,74,49,4.38,scattered clouds
306,mayo,US,38.8876,-76.5119,57.2,21,1,17.27,clear sky
307,xai-xai,MZ,-25.0519,33.6442,72.99,88,0,4.76,clear sky
308,guerrero negro,MX,27.9769,-114.0611,61.81,59,0,20.13,clear sky
309,ballina,AU,-28.8667,153.5667,66.2,94,90,12.66,light rain
310,souillac,MU,-20.5167,57.5167,77.0,94,75,10.51,moderate rain
311,fort-shevchenko,KZ,44.5086,50.263,31.89,83,18,14.72,few clouds
312,ahuimanu,US,21.4447,-157.8378,77.0,57,75,5.75,light rain
313,gamba,GA,-2.65,10.0,78.6,87,100,7.2,light rain
314,iqaluit,CA,63.7506,-68.5145,-18.0,63,40,20.71,snow
315,constitucion,CL,-35.3333,-72.4167,57.42,86,65,3.06,broken clouds
316,rio gallegos,AR,-51.6226,-69.2181,59.0,67,75,6.91,broken clouds
317,bambanglipuro,ID,-7.95,110.2833,77.81,83,91,2.13,overcast clouds
318,airai,TL,-8.9266,125.4092,67.53,75,100,0.45,overcast clouds
319,krasnoselkup,RU,65.7,82.4667,6.87,96,100,5.84,light snow
320,aswan,EG,24.0934,32.907,67.93,38,24,7.14,few clouds
321,alofi,NU,-19.0595,-169.9187,86.0,70,75,10.36,broken clouds
322,kenai,US,60.5544,-151.2583,21.2,79,90,10.36,snow
323,weihai,CN,37.5017,122.1136,46.9,74,100,17.27,overcast clouds
324,ponta delgada,PT,37.7333,-25.6667,60.8,100,75,9.22,broken clouds
325,indramayu,ID,-6.3264,108.32,78.03,86,100,3.89,heavy intensity rain
326,vardo,NO,70.3705,31.1107,26.6,93,90,8.05,snow
327,shar,KZ,49.5886,81.0453,-2.2,95,100,3.09,overcast clouds
328,iralaya,HN,15.0,-83.2333,82.4,78,20,11.5,few clouds
329,poum,NC,-20.2333,164.0167,79.81,72,70,5.35,broken clouds
330,lamu,KE,-2.2717,40.902,78.8,83,40,4.61,scattered clouds
331,calama,CL,-22.4667,-68.9333,66.2,45,40,21.85,scattered clouds
332,brufut,GM,13.3814,-16.7518,75.2,57,0,4.61,clear sky
333,lompoc,US,34.6391,-120.4579,57.2,54,20,11.5,few clouds
334,catamarca,AR,-28.4696,-65.7852,79.0,77,40,5.99,scattered clouds
335,yantal,RU,56.8471,105.2542,-3.15,98,97,4.79,overcast clouds
336,irtyshskiy,RU,58.3333,68.1333,8.13,95,45,7.74,scattered clouds
337,jesus maria,AR,-30.9815,-64.0942,75.99,83,40,5.75,scattered clouds
338,yerbogachen,RU,61.2767,108.0108,-0.69,94,91,11.12,light snow
339,bacalar,MX,18.6667,-88.3833,82.4,61,40,12.66,scattered clouds
340,leshukonskoye,RU,64.8989,45.7622,30.09,98,99,7.38,overcast clouds
341,mitsamiouli,KM,-11.3847,43.2844,81.95,71,92,3.89,overcast clouds
342,hay river,CA,60.8156,-115.7999,6.8,72,100,14.97,light snow
343,shitanjing,CN,39.2342,106.3439,31.15,69,16,3.94,few clouds
344,mount gambier,AU,-37.8333,140.7667,60.8,88,75,9.22,broken clouds
345,visby,SE,57.6409,18.296,37.4,87,90,4.61,overcast clouds
346,hualmay,PE,-11.0964,-77.6139,73.29,79,6,4.72,clear sky
347,egvekinot,RU,66.3167,-179.1667,9.93,93,98,4.32,overcast clouds
348,monte alegre,BR,-2.0078,-54.0692,76.84,84,56,4.41,broken clouds
349,byron bay,AU,-28.65,153.6167,66.2,94,90,12.66,light rain
350,tautira,PF,-17.7333,-149.15,89.6,62,40,6.91,scattered clouds
351,abonnema,NG,4.7084,6.7931,74.95,90,97,4.21,overcast clouds
352,torbay,CA,47.6666,-52.7314,28.99,86,90,3.44,light snow
353,luba,GQ,3.4568,8.5547,79.84,80,94,1.86,overcast clouds
354,santo domingo,DO,18.5001,-69.9886,78.8,73,20,9.22,few clouds
355,nouadhibou,MR,20.931,-17.0347,65.68,69,0,19.04,clear sky
356,cockburn town,TC,21.4612,-71.1419,73.4,60,20,9.22,few clouds
357,banmankhi,IN,25.8833,87.1833,64.31,44,0,3.91,clear sky
358,clarence town,AU,-32.5833,151.7833,66.99,77,75,10.36,light rain
359,karratha,AU,-20.7377,116.8463,86.5,56,78,12.8,broken clouds
360,evensk,RU,61.95,159.2333,-0.4,73,98,3.2,overcast clouds
361,kawalu,ID,-7.3817,108.2082,74.97,90,100,1.21,overcast clouds
362,yangambi,CD,0.8102,24.4336,67.84,98,100,4.83,light rain
363,sorland,NO,67.667,12.6934,38.71,66,90,11.32,overcast clouds
364,lima,PE,-12.0432,-77.0282,77.0,69,0,9.22,clear sky
365,freeport,US,40.6576,-73.5832,39.2,38,20,18.41,few clouds
366,zalantun,CN,48.0,122.7167,28.31,38,100,24.14,overcast clouds
367,pakxan,LA,18.3778,103.6601,73.78,66,32,3.71,scattered clouds
368,kulhudhuffushi,MV,6.6221,73.07,82.11,75,92,11.72,overcast clouds
369,hirara,JP,24.8,125.2833,68.0,73,40,6.91,scattered clouds
370,paciran,ID,-6.8767,112.3761,78.24,84,96,6.13,overcast clouds
371,oum hadjer,TD,13.2954,19.6966,86.0,12,60,7.38,broken clouds
372,husavik,IS,66.0449,-17.3389,17.6,93,0,1.14,clear sky
